PaperID,BibKey,Year,FirstAuthor,Venue,Dataset,Models,Metrics,Task,Contribution,Keywords,ReadyForCitation
P001,raza2024comparative,2024,Shaina Raza,arXiv preprint (arXiv:2412.14276v2),Own GPT-4-annotated news dataset (~10k labeled); NELA-GT-2022,DistilBERT; BERT; RoBERTa; Llama2-7B-Chat; Mistral-7B-Instruct-v0.2; GPT-4 Turbo (annotator),Accuracy; Precision; Recall; F1,Binary fake news classification,Comparative evaluation of BERT-like encoder models vs decoder-only LLMs using GPT-4-assisted human-verified annotation; BERT-like models best at classification while LLMs are more robust to text perturbations,Fake news; Large Language Models; BERT models; Annotations,Partial (arXiv preprint; no venue/DOI)
P002,roumeliotis2025comparative,2025,Konstantinos I. Roumeliotis,"Future Internet (MDPI), 2025, 17, 28 (doi:10.3390/fi17010028)",WELFake,GPT-4o; GPT-4o-mini; BERT (bert-base-uncased); CNN,Accuracy; Precision; Recall; F1; training time; training cost (USD),Binary fake news detection,Compares CNN/BERT/GPT-4o/GPT-4o-mini (zero-shot vs fine-tuned) on WELFake; fine-tuned GPT-4o and GPT-4o-mini reach 98.6% accuracy with explicit cost analysis,fake news detection; CNN; large language models; GPT-4o; fine-tuning; WELFake,Yes
P003,tian2025empirical,2025,Yexin Tian,"Mathematics (MDPI), 2025, 13, 2086 (doi:10.3390/math13132086)",WELFake,Logistic Regression; Random Forest; LightGBM; ALBERT; GRU,Precision; Recall; F1 (macro); AUC-ROC; McNemar test; training time,Binary fake news classification (title / content / title+content),Empirical benchmark of classical ML vs deep learning across input granularities on WELFake; ALBERT best (macro F1 up to 0.99) with statistical significance testing,fake news detection; machine learning; deep learning; ALBERT; TF-IDF; benchmarking,Yes
P004,truica2025getae,2025,Ciprian-Octavian Truica,"Expert Systems With Applications, 2025, 275, 126984 (doi:10.1016/j.eswa.2025.126984)",Twitter15; Twitter16,GETAE ensemble (Word2Vec/BERT/BERTweet + RNN/BiRNN/GRU/BiGRU/LSTM/BiLSTM + Node2Vec/DeepWalk),Accuracy; Precision; Recall; F1,Binary fake news detection on social media,Propagation-enhanced content embedding ensemble combining textual content and social-diffusion graph embeddings; outperforms SOTA on Precision/Recall/F1 for Twitter15/Twitter16,fake news detection; graph embeddings; information propagation; node2vec; ensemble; deep learning,Yes
P005,wu2025balanced,2025,Fei Wu,"Pattern Recognition, 2025, 164, 111485 (doi:10.1016/j.patcog.2025.111485)",Twitter (MediaEval); Weibo; Fakeddit,BMLHF (BERT; Swin-T; CLIP-text; CLIP-image; MIB module; hierarchical fusion),Accuracy; Precision; Recall; F1; Kruskal-Wallis test; params; train/test time,Multimodal (text+image) fake news detection,Addresses modality imbalance via a Multi-modal Information Balancing module plus Hierarchical Fusion; SOTA on Weibo/Twitter/Fakeddit,multimodal fake news detection; modality imbalance; hierarchical fusion; CLIP; contrastive learning,Yes
P006,kuntur2026data,2026,Soveatin Kuntur,"Applied Sciences (MDPI), 2026, 16, 1585 (doi:10.3390/app16031585)","Survey (no training set); catalogs LIAR, PHEME, FakeNewsNet, Fakeddit, NELA-GT, CREDBANK, M4, etc.",N/A - survey (reviews classical ML; CNN/RNN; transformers BERT/GPT),N/A - discusses accuracy; F1; AUC across surveyed studies,Systematic review of datasets for fake news detection (PRISMA 2020),Dataset-centric systematic review emphasizing dataset quality/diversity; analyzes cross-dataset generalization and LLM-era contamination; provides an aggregated dataset GitHub portal,fake news datasets; systematic review; PRISMA; cross-dataset generalization; misinformation,Yes
P007,nasser2025systematic,2025,Maged Nasser,"Results in Engineering, 2025, 26, 104752 (doi:10.1016/j.rineng.2025.104752)","Survey (no training set); catalogs Twitter, Weibo, PolitiFact, GossipCop, Fakeddit, FakeNewsNet, PHEME, FVC, DFDC, FakeAVCeleb, FakeSV, etc.",N/A - survey (DL families: Transformer/BERT/RoBERTa; RNN; CNN; GRU; GAN; AE; RvNN; Ensemble),Accuracy; Precision; Recall; F1; AUC-ROC; computational cost,Systematic review (PRISMA) of multimodal deep-learning fake news detection on social media,PRISMA systematic review of 121 studies on multimodal DL fake news detection; consolidates taxonomies of models/features/fusion methods/datasets/metrics,multimodal fake news detection; deep learning; systematic review; social media; feature fusion,Yes
P008,rehman2025hate,2025,Hafiz Muhammad Raza Ur Rehman,"Journal of Big Data, 2025, 12, 109 (doi:10.1186/s40537-025-01167-w)","Survey (no training set); catalogs multilingual/code-mixed hate-speech datasets (Twitter, Instagram, Facebook, YouTube, etc.)",N/A - survey (NLP; ML: SVM/RF/NB/LR; DL: CNN/LSTM/GRU/RNN; mBERT/XLM-R/RoBERTa/CLIP),Precision; Recall; F1; Accuracy; AUC; Cohen Kappa,Survey of multilingual code-mixed image/video hate speech detection (adjacent domain),Survey of multilingual/code-mixed/multimodal hate speech detection; proposes a conceptual CLIP + mBERT/XLM-R cross-lingual multimodal fusion framework,hate speech detection; multilingual; code-mixed; multimodal; survey,Yes
P009,alhawiti2025multimodal,2025,Khaled M. Alhawiti,"Sensors (MDPI), 2025, 25, 7048 (doi:10.3390/s25227048)",Amazon Reviews 2023 (+2018/historic); Amazon Fake Reviews 2022; Yelp Chi / Yelp Review Full,FLAN-T5 (Base/XL); transformer autoencoder; hybrid anomaly scorer; LIME/IG/Grad saliency,AUC; F1 / F1-macro; Precision@k; Recall; cross-domain stability (std of AUC),Zero-shot multimodal fake-review / anomaly detection,Zero-shot label-free hybrid anomaly detector fusing perplexity + reconstruction error + semantic drift + metadata with built-in interpretability,anomaly detection; fake reviews; zero-shot; instruction-tuned transformers; FLAN-T5; interpretability,Yes
P010,ishraquzzaman2025ensemble,2025,Md. Ishraquzzaman,"Applied Computational Intelligence and Soft Computing (Wiley), 2025, Article 3268456 (doi:10.1155/acis/3268456)","Combined dataset D6 (FakeNewsNet, COVID-19, LIAR, ISOT, TuringBench + ensemble-LLM-generated news)",6 ML (NB/RF/SVM/LR/XGBoost/AdaBoost); 5 transformers (BERT/RoBERTa/DeBERTa/DistilBERT/XLNet); RoBERTa+DeBERTa ensemble; GPT-2/GPT-NEO/Distil-GPT-2 generator,Accuracy; Precision; Recall; F1; ROC/AUC; model size; training time,Three-class news classification (fake / real / AI-generated),First three-class (fake/real/AI-generated) combined dataset plus a CI-weighted RoBERTa+DeBERTa ensemble (96.66% F1) with pruning/quantization/distillation and a deployed website,fake news detection; AI-generated news; ensemble transformers; knowledge distillation; quantization,Yes
